word
Admiration
Anger
Anticipation
Artifice
Beauty
Caution
Charm
Cheerfulness
Confidence
Consciousness
Courage
Creativity
Cruelty
Danger
Death
Desire
Determination
Devotion
Dignity
Elegance
Encouragement
Endurance
Enthusiasm
Faith
Faithfulness
Family
Fertility
Fidelity
Freedom
Friendship
Fun
Glory
Good fortune
Grace
Gratitude
Growth
Happiness
Harmony
Health
Honesty
Hope
Immortality
Independence
Indifference
Ingenuity
Innocence
Joy
Justice
Longevity
Love
Loyalty
Majesty
Modesty
New beginnings
Nobility
Nostalgia
Passion
Patience
Peace
Perfection
Perseverance
Playfulness
Politeness
Power
Pride
Protection
Purity
Rebirth
Remembrance
Rigour
Romance
Sacrifice
Sadness
Sensibility
Serenity
Severity
Sincerity
Spirituality
Strength
Success
Temptation
Tenderness
Thoughtfulness
Thoughtlessness
Trust
Vanity
Victory
Wealth
Wisdom
Youth
